Timestamp,AMS00_PF3A_AccumFlow,AMS00_PF3A_Flow,AMS00_PF3A_Temperature,AMS00_PF3A_Pressure,AMS00_ITV_Value,
13:28:26.966,25210,0,20.5,0.501,0.499,inicio 4
13:28:27.465,25210,0,20.6,0.501,0.5,00:02:28.940
13:28:27.991,25210,0,20.5,0.495,0.5,
13:28:28.506,25210,179,20.2,0.5,0.5,
13:28:29.019,25210,222,20.1,0.501,0.5,
13:28:29.517,25220,166,20,0.501,0.5,
13:28:30.045,25220,105,20.1,0.501,0.5,
13:28:30.574,25220,39,20.1,0.501,0.5,
13:28:31.073,25220,0,20.2,0.501,0.5,
13:28:31.601,25220,0,20.2,0.501,0.5,
13:28:32.112,25220,0,20.2,0.501,0.5,
13:28:32.644,25220,0,20.3,0.501,0.5,
13:28:33.173,25220,0,20.3,0.501,0.5,
13:28:33.687,25220,0,20.3,0.501,0.499,
13:28:34.212,25220,0,20.4,0.502,0.5,
13:28:34.726,25220,0,20.4,0.501,0.5,
13:28:35.237,25220,0,20.4,0.501,0.5,
13:28:35.761,25220,0,20.4,0.501,0.5,
13:28:36.276,25220,0,20.4,0.502,0.5,
13:28:36.794,25220,0,20.4,0.501,0.499,
13:28:37.307,25220,0,20.4,0.502,0.501,
13:28:37.836,25220,0,20.4,0.501,0.499,
13:28:38.363,25220,0,20.5,0.502,0.5,
13:28:38.866,25220,0,20.5,0.501,0.5,
13:28:39.395,25220,0,20.5,0.501,0.5,
13:28:39.907,25220,0,20.5,0.501,0.5,
13:28:40.418,25220,0,20.5,0.501,0.499,
13:28:40.948,25220,0,20.5,0.501,0.5,
13:28:41.461,25220,0,20.5,0.501,0.5,
13:28:41.973,25220,0,20.5,0.501,0.5,
13:28:42.487,25220,0,20.5,0.501,0.5,
13:28:43.016,25220,0,20.5,0.501,0.5,
13:28:43.517,25220,0,20.5,0.501,0.5,
13:28:44.047,25220,0,20.5,0.501,0.5,
13:28:44.557,25220,0,20.5,0.501,0.5,
13:28:45.070,25220,0,20.5,0.501,0.5,
13:28:45.599,25220,0,20.5,0.501,0.5,
13:28:46.115,25220,0,20.6,0.501,0.5,
13:28:46.632,25220,0,20.5,0.501,0.5,
13:28:47.139,25220,0,20.6,0.501,0.5,
13:28:47.664,25220,0,20.5,0.501,0.5,
13:28:48.194,25220,0,20.6,0.501,0.5,
13:28:48.706,25220,0,20.6,0.501,0.5,
13:28:49.234,25220,0,20.5,0.501,0.5,
13:28:49.749,25220,0,20.6,0.501,0.5,
13:28:50.263,25220,0,20.6,0.501,0.5,
